Price,Bedrooms,Bathrooms,Area,Location
"EGP 500,000",3,1,120 SQM,"Miami, Alexandria•"
"EGP 3,600,000",4,3,265 SQM,"Laurent, Alexandria•"
"EGP 6,500,000",2,3,214 SQM,"San Stefano, Alexandria•"
"EGP 3,060,000",3,3,204 SQM,"San Stefano, Alexandria•"
"EGP 2,500,000",3,3,165 SQM,"Laurent, Alexandria•"
"EGP 345,000",4,2,200 SQM,"Agami, Alexandria•"
"EGP 4,212,000",3,3,155 SQM,"Smoha, Alexandria•"
"EGP 2,500,000",3,2,200 SQM,"Asafra, Alexandria•"
"EGP 3,600,000",3,3,385 SQM,"Roushdy, Alexandria•"
"EGP 3,045,000",3,3,203 SQM,"Moharam Bik, Alexandria•"
"EGP 1,900,000",3,1,125 SQM,"Sidi Beshr, Alexandria•"
"EGP 1,000,000Negotiable",2,1,140 SQM,"Miami, Alexandria•"
"EGP 2,360,000",3,2,140 SQM,"Moharam Bik, Alexandria•"
"EGP 6,000,001",3,4,321 SQM,"Mandara, Alexandria•"
"EGP 2,500,000",3,2,220 SQM,"Roushdy, Alexandria•"
"EGP 2,250,000Negotiable",3,1,125 SQM,"Sidi Gaber, Alexandria•"
"EGP 2,150,000",3,2,180 SQM,"Bolkly, Alexandria•"
"EGP 3,111,000",3,2,122 SQM,"Smoha, Alexandria•"
"EGP 550,000",2,1,100 SQM,"Miami, Alexandria•"
"EGP 3,500,000Negotiable",3,2,130 SQM,"Cleopatra, Alexandria•"
"EGP 3,000,000",3,3,195 SQM,"Kafr Abdo, Alexandria•"
"EGP 1,962,000",2,2,111 SQM,"Smoha, Alexandria•"
"EGP 1,500,000Negotiable",4,2,180 SQM,"Agami, Alexandria•"
"EGP 4,400,000",4,4,280 SQM,"Laurent, Alexandria•"
"EGP 2,483,000",3,2,150 SQM,"Smoha, Alexandria•"
"EGP 4,500,000",3,3,210 SQM,"Roushdy, Alexandria•"
"EGP 2,895,000",3,3,193 SQM,"Glim, Alexandria•"
"EGP 270,000",2,1,100 SQM,"Agami, Alexandria•"
"EGP 3,060,000",3,3,204 SQM,"Kafr Abdo, Alexandria•"
"EGP 4,427,660",3,3,177 SQM,"Moharam Bik, Alexandria•"
"EGP 820,000",2,1,110 SQM,"Sidi Beshr, Alexandria•"
"EGP 1,750,000",2,1,125 SQM,"Sidi Beshr, Alexandria•"
"EGP 10,000,000",4,4,400 SQM,"Glim, Alexandria•"
"EGP 1,200,000",3,2,185 SQM,"Asafra, Alexandria•"
"EGP 1,550,000",2,1,140 SQM,"Roushdy, Alexandria•"
"EGP 950,000Negotiable",3,2,185 SQM,"Smoha, Alexandria•"
"EGP 3,045,000",3,3,203 SQM,"Roushdy, Alexandria•"
"EGP 5,700,000",4,3,364 SQM,"Glim, Alexandria•"
"EGP 350,000Negotiable",2,1,286 SQM,"Amreya, Alexandria•"
"EGP 1,700,000",2,1,145 SQM,"Moharam Bik, Alexandria•"
"EGP 2,100,000",3,2,150 SQM,"Glim, Alexandria•"
"EGP 650,000Negotiable",2,1,108 SQM,"Smoha, Alexandria•"
"EGP 3,000,000Negotiable",4,2,160 SQM,"Saba Pasha, Alexandria•"
"EGP 2,650,000",3,3,265 SQM,"Laurent, Alexandria•"
"EGP 1,750,000",3,2,150 SQM,"Glim, Alexandria•"
"EGP 6,108,718",3,3,218 SQM,"Amreya, Alexandria•"
"EGP 3,200,000",3,3,190 SQM,"Smoha, Alexandria•"
"EGP 560,000Negotiable",3,2,140 SQM,"Nakheel, Alexandria•"
"EGP 490,000Negotiable",2,2,260 SQM,"Nakheel, Alexandria•"
"EGP 1,900,000",3,1,130 SQM,"Moharam Bik, Alexandria•"
"EGP 2,750,000Negotiable",3,2,150 SQM,"Mandara, Alexandria•"
"EGP 320,000Negotiable",2,1,120 SQM,"Nakheel, Alexandria•"
"EGP 400,000",1,1,100 SQM,"Sidi Beshr, Alexandria•"
"EGP 3,600,000",3,3,385 SQM,"Roushdy, Alexandria•"
"EGP 3,600,000",3,2,220 SQM,"Smoha, Alexandria•"
"EGP 2,450,000",3,2,220 SQM,"Roushdy, Alexandria•"
"EGP 1,250,000",2,1,110 SQM,"Gianaclis, Alexandria•"
"EGP 700,000",5,2,110 SQM,"Gomrok, Alexandria•"
"EGP 2,250,000",3,2,165 SQM,"Saba Pasha, Alexandria•"
"EGP 2,200,000",3,2,145 SQM,"Sporting, Alexandria•"
"EGP 500,000",2,1,80 SQM,"Sidi Gaber, Alexandria•"
"EGP 3,550,000",3,3,160 SQM,"Montazah, Alexandria•"
"EGP 3,600,000",3,2,180 SQM,"Saba Pasha, Alexandria•"
"EGP 360,000Negotiable",2,1,220 SQM,"Nakheel, Alexandria•"
"EGP 3,487,500",3,3,155 SQM,"Smoha, Alexandria•"
"EGP 3,111,000",3,2,122 SQM,"Smoha, Alexandria•"
"EGP 1,200,000",2,1,100 SQM,"Laurent, Alexandria•"
"EGP 7,000,000",3,3,210 SQM,"Cleopatra, Alexandria•"
"EGP 1,650,000",2,1,135 SQM,"Sidi Gaber, Alexandria•"
"EGP 2,650,000",3,3,265 SQM,"Laurent, Alexandria•"
"EGP 350,000Negotiable",2,1,106 SQM,"Agami, Alexandria•"
"EGP 1,750,000",3,2,165 SQM,"Laurent, Alexandria•"
"EGP 330,000Negotiable",3,1,125 SQM,"Nakheel, Alexandria•"
"EGP 330,000Negotiable",2,1,220 SQM,"Nakheel, Alexandria•"
"EGP 1,700,000",2,1,145 SQM,"Moharam Bik, Alexandria•"
"EGP 2,950,000",3,3,220 SQM,"Laurent, Alexandria•"
"EGP 1,800,000",3,1,120 SQM,"Glim, Alexandria•"
"EGP 2,805,000",3,2,170 SQM,"Smoha, Alexandria•"
"EGP 2,557,500",3,2,155 SQM,"Smoha, Alexandria•"
"EGP 3,036,000",3,2,184 SQM,"Smoha, Alexandria•"
"EGP 2,805,000",3,3,187 SQM,"Smoha, Alexandria•"
"EGP 3,625,200",3,3,212 SQM,"Smoha, Alexandria•"
"EGP 3,648,000",3,3,228 SQM,"Smoha, Alexandria•"
"EGP 3,488,000",4,3,218 SQM,"Smoha, Alexandria•"
"EGP 3,500,000",3,2,200 SQM,"Roushdy, Alexandria•"
"EGP 4,212,000",3,3,155 SQM,"Smoha, Alexandria•"
"EGP 2,992,500",3,3,190 SQM,"Smoha, Alexandria•"
"EGP 135,000Negotiable",1,1,60 SQM,"Nakheel, Alexandria•"
"EGP 1,500,000",3,2,181 SQM,"Laurent, Alexandria•"
"EGP 3,500,000",3,2,205 SQM,"Glim, Alexandria•"
"EGP 1,700,000Negotiable",3,1,168 SQM,"Sidi Beshr, Alexandria•"
"EGP 590,000Negotiable",3,2,125 SQM,"Nakheel, Alexandria•"
"EGP 6,330,351",4,3,284 SQM,"Moharam Bik, Alexandria•"
"EGP 3,500,000",3,2,205 SQM,"Saba Pasha, Alexandria•"
"EGP 260,000Negotiable",2,1,140 SQM,"Nakheel, Alexandria•"
"EGP 3,300,000",3,2,200 SQM,"Saba Pasha, Alexandria•"
"EGP 2,520,000",3,2,140 SQM,"Smoha, Alexandria•"
"EGP 2,520,000",3,2,140 SQM,"Smoha, Alexandria•"
"EGP 6,900,000",2,2,136 SQM,"San Stefano, Alexandria•"
"EGP 3,300,000",3,2,200 SQM,"Glim, Alexandria•"
"EGP 560,000Negotiable",2,1,85 SQM,"Sidi Beshr, Alexandria•"
"EGP 3,650,000",4,3,350 SQM,"Kafr Abdo, Alexandria•"
"EGP 4,300,000",3,3,180 SQM,"Miami, Alexandria•"
"EGP 4,250,000",3,2,179 SQM,"Azarita, Alexandria•"
"EGP 2,650,000",3,2,204 SQM,"Smoha, Alexandria•"
