Price,Bedrooms,Bathrooms,Area,Location,date,id
1100000,3,2,165,Seyouf,2023-01-26,194727255
3265000,3,2,137,Smoha,2023-01-26,195614602
3600000,3,2,180,Mandara,2023-01-26,195654007
4250000,3,2,292,Glim,2023-01-26,195451113
4000000,3,2,200,Louran,2023-01-26,193024518
800000,3,1,120,Mandara,2023-01-26,195632047
1200000,3,1,110,Glim,2023-01-26,195348805
1700000,3,2,155,Sidi Beshr,2023-01-26,195533597
3800000,3,2,200,Smoha,2023-01-26,194466156
3726800,3,2,154,Smoha,2023-01-26,195615481
1575000,3,2,165,Louran,2023-01-26,195582866
2217640,3,2,155,Amreya,2023-01-26,195176645
3800000,4,3,300,Louran,2023-01-26,195331556
240000,2,1,90,Agami,2023-01-26,195394835
2500000,3,2,176,Maamoura,2023-01-26,195330471
2700000,3,3,205,Louran,2023-01-26,194399962
2600000,4,3,300,Sidi Beshr,2023-01-26,195601768
1375000,3,1,120,Victoria,2023-01-26,195570323
1400000,2,2,150,Smoha,2023-01-26,195636470
3200000,3,2,200,Smoha,2023-01-26,195652801
2800000,3,2,184,Louran,2023-01-26,195668195
3400000,4,2,200,Kafr Abdo,2023-01-26,195465526
750000,2,1,75,Kafr Abdo,2023-01-26,194679127
3800000,3,3,273,Kafr Abdo,2023-01-26,195313362
1850000,3,2,185,Al Ibrahimiyyah,2023-01-26,195284619
4752000,3,3,177,Moharam Bik,2023-01-26,195451442
2250000,3,2,143,Gianaclis,2023-01-26,195532743
2250000,3,2,138,Smoha,2023-01-26,195592311
1700000,3,2,155,Asafra,2023-01-26,195552168
3500000,3,2,200,Saba Pasha,2023-01-26,193913127
3971550,3,3,165,Smoha,2023-01-26,195563832
2650000,3,2,165,Smoha,2023-01-26,194564827
220000,2,1,80,Agami,2023-01-26,195589386
4146000,3,3,184,Smoha,2023-01-26,194228359
4020000,3,2,150,Moharam Bik,2023-01-26,195649649
3750000,3,3,215,Gianaclis,2023-01-26,195666283
4100000,3,2,210,Smoha,2023-01-26,194847341
300000,2,2,105,Agami,2023-01-26,195644041
2650000,3,2,170,Smoha,2023-01-26,195224711
4500000,3,2,185,Kafr Abdo,2023-01-26,195568183
2600000,3,3,196,Roushdy,2023-01-26,195667874
4763200,3,3,208,Moharam Bik,2023-01-26,195612466
4100000,4,3,280,Louran,2023-01-26,195266986
6500000,3,3,236,Smoha,2023-01-26,195610558
1500000,3,1,145,Al Ibrahimiyyah,2023-01-26,195663648
850000,3,1,130,Sidi Beshr,2023-02-02,195673755
2000000,3,1,120,Asafra,2023-02-02,195663892
3136000,3,3,196,Roushdy,2023-02-02,195646335
1500000,3,1,135,Mandara,2023-02-02,195571003
