Price,Bedrooms,Bathrooms,Area,Location,id
3800000,3,2,165,Maamoura,193349318
7000000,5,5,442,Smoha,195609810
3250000,3,2,188,Kafr Abdo,195082183
1500000,2,1,126,Roushdy,195155604
2300000,4,1,160,Sidi Beshr,194914485
6200000,3,2,175,Sporting,195594038
250000,2,1,90,Agami,195394835
3500000,3,2,200,Roushdy,185984446
3350000,3,2,180,Louran,195114104
3500000,3,2,200,Saba Pasha,193913127
6900000,3,3,260,Saba Pasha,195536008
4250000,3,2,292,Glim,195451113
3000000,3,3,200,Smoha,195547114
4100000,3,2,210,Smoha,194847341
1800000,3,2,180,Asafra,194987869
2650000,3,3,185,Zezenia,195284282
4100000,4,3,280,Louran,195266986
4000000,3,2,200,Glim,194078899
12268800,3,3,284,Moharam Bik,195143799
1750000,3,2,160,Zezenia,195439080
550000,4,1,185,Agami,195570842
1400000,2,1,115,Roushdy,195553984
4650000,3,3,240,Kafr Abdo,195614128
1750000,3,1,100,Miami,195612914
2250000,3,2,143,Gianaclis,195532743
5000000,3,3,263,Smoha,195553487
3650000,3,3,280,Roushdy,195329778
700000,3,1,105,Agami,195357771
1200000,3,1,130,Smoha,194747122
2700000,3,3,205,Louran,194399962
2500000,2,2,125,Smoha,195535745
3360000,3,2,280,Louran,195241391
2250000,3,2,138,Smoha,195592311
580000,2,1,100,Miami,195613268
2000000,3,2,135,Louran,195592829
490000,2,1,110,Abu Talat,195643234
8700000,3,3,350,Smoha,195630348
1200000,2,1,110,Sidi Gaber,195501519
3250000,1,2,77,Moharam Bik,195021040
6000000,3,3,248,Smoha,193648833
4000000,3,3,225,Smoha,195501813
6500000,3,3,236,Smoha,195610558
600000,3,2,210,Agami,195534308
2542500,2,1,113,Smoha,195550035
4300000,4,2,280,Stanley,194491457
1850000,2,1,130,Louran,195643435
3096000,3,3,172,Smoha,195643418
1550000,2,1,115,Kafr Abdo,195643252
5150000,3,3,198,Smoha,195643240
490000,2,1,110,Abu Talat,195643234
1000000,3,1,107,Bacchus,195625551
6000000,3,3,227,Smoha,195643148
570000,2,1,90,Sidi Beshr,195642776
560000,3,1,100,Miami,195642682
14000000,5,5,570,Louran,195608487
470000,2,1,107,Victoria,195641842
450000,3,1,140,Nakheel,195641761
275000,2,1,110,Nakheel,195641741
270000,2,1,110,Nakheel,195641731
1300000,4,2,400,Nakheel,195641722
1100000,3,1,150,Sidi Gaber,195641177
340000,4,2,180,Nakheel,195641111
210000,1,1,120,Nakheel,195606785
270000,2,1,95,Agami,194825817
265000,2,1,140,Nakheel,195641066
390000,2,1,115,Nakheel,195641045
1150000,3,1,145,Sidi Beshr,195641015
2250000,2,1,110,Sidi Beshr,195640546
390000,2,1,118,Agami,195149618
4200000,3,2,194,Louran,195640777
4200000,3,2,194,Smoha,195640762
290000,2,1,120,Nakheel,194174376
560000,4,2,360,Nakheel,194174356
390000,2,1,120,Nakheel,194170465
240000,3,1,120,Nakheel,194169095
480000,2,1,120,Nakheel,194169050
580000,2,1,85,Victoria,195622663
3100000,3,3,265,Smoha,195639553
3100000,3,3,210,Stanley,195639383
1200000,3,1,135,Sidi Beshr,195588370
750000,3,2,150,Miami,195405491
450000,3,2,140,Miami,195637307
1350000,10,6,340,Agami,195634654
1800000,2,1,125,Smoha,195620948
650000,3,1,135,Nakheel,195637676
260000,3,1,100,Nakheel,195619727
385000,2,1,250,Nakheel,195637562
5701250,3,3,219,Smoha,195636616
270000,2,1,110,Nakheel,195637099
3236400,3,3,174,Smoha,195636998
3667000,3,3,193,Roushdy,195636884
1800000,2,2,125,Sidi Beshr,195636870
3895000,3,3,205,Louran,195636785
3500000,3,3,175,Smoha,195636663
1200000,3,3,155,Mandara,195618891
3575000,3,2,210,Sidi Beshr,195618439
2200000,3,2,175,Mandara,195612843
420000,3,1,90,Asafra,195537421
3200000,3,2,126,Sporting,195636558
6029000,3,3,228,Smoha,195636528
1400000,2,2,150,Smoha,195636470
270000,2,1,95,Nakheel,192298630
3200000,3,2,126,Smoha,195636519
210000,1,1,120,Nakheel,194141398
1500000,3,1,140,Sidi Gaber,193999165
2800000,3,2,118,Smoha,195636418
9999000,4,3,250,Roushdy,195636338
2961000,3,2,141,Smoha,195636146
4500000,4,3,175,Smoha,195636065
2040000,3,2,170,Saba Pasha,195634954
1760000,3,2,165,Miami,195635711
4029000,3,3,158,Sporting,195635659
3792000,3,3,158,Abu Qir,195635571
2577000,1,1,69,Louran,195635416
4860000,4,3,180,Smoha,195635397
4214000,3,3,172,Smoha,195635266
2800000,3,2,174,Smoha,195635180
7144000,3,3,304,Smoha,195635077
5646500,3,3,219,Smoha,195635036
3529500,3,3,195,Smoha,195634860
4158000,3,3,198,Smoha,195634808
1500000,3,1,120,Louran,195634792
