Price,Bedrooms,Bathrooms,Area,Location,date,id
"EGP 3,200,000",3,2,195 SQM,"Laurent, Alexandria•",2023-02-05,194180831
"EGP 2,150,000",2,2,154 SQM,"Sidi Beshr, Alexandria•",2023-02-05,195793712
"EGP 2,200,000",3,1,142 SQM,"Camp Caesar, Alexandria•",2023-02-05,195682919
"EGP 980,000",3,1,150 SQM,"Seyouf, Alexandria•",2023-02-05,195702155
"EGP 3,600,000Negotiable",3,2,175 SQM,"San Stefano, Alexandria•",2023-02-05,195435091
"EGP 3,800,000Negotiable",3,3,200 SQM,"Saba Pasha, Alexandria•",2023-02-05,195407720
"EGP 2,645,000",3,3,178 SQM,"Smoha, Alexandria•",2023-02-05,194762735
"EGP 3,700,000",5,3,300 SQM,"Glim, Alexandria•",2023-02-05,195760787
"EGP 4,000,000",6,3,380 SQM,"Smoha, Alexandria•",2023-02-05,192113939
"EGP 1,800,000",4,2,160 SQM,"Smoha, Alexandria•",2023-02-05,195599295
"EGP 1,850,000",2,2,125 SQM,"Sidi Beshr, Alexandria•",2023-02-05,195402429
"EGP 750,000Negotiable",3,1,140 SQM,"Abu Talat, Alexandria•",2023-02-05,195689216
"EGP 2,632,000",3,2,156 SQM,"Saba Pasha, Alexandria•",2023-02-05,195766140
"EGP 3,557,400",3,2,147 SQM,"Smoha, Alexandria•",2023-02-05,195714928
"EGP 2,250,000",3,1,145 SQM,"Smoha, Alexandria•",2023-02-05,195759797
"EGP 3,800,000",3,2,200 SQM,"Kafr Abdo, Alexandria•",2023-02-05,195594470
"EGP 3,000,000",4,2,180 SQM,"Gianaclis, Alexandria•",2023-02-05,195314832
"EGP 3,100,000",4,2,306 SQM,"Smoha, Alexandria•",2023-02-05,195644496
"EGP 1,500,000",2,2,110 SQM,"Laurent, Alexandria•",2023-02-05,195610976
"EGP 1,650,000",2,2,135 SQM,"San Stefano, Alexandria•",2023-02-05,195341806
"EGP 575,000",3,2,120 SQM,"Miami, Alexandria•",2023-02-05,195760594
"EGP 3,500,000",3,2,200 SQM,"Saba Pasha, Alexandria•",2023-02-05,193913127
"EGP 3,200,000",2,2,175 SQM,"Maamoura, Alexandria•",2023-02-05,195224451
"EGP 3,300,000",3,3,225 SQM,"Kafr Abdo, Alexandria•",2023-02-05,195724782
"EGP 1,550,000",3,2,140 SQM,"Victoria, Alexandria•",2023-02-05,195765573
