Price,Bedrooms,Bathrooms,Area,Location,date,id
"EGP 1,100,000",3,2,165 SQM,"Seyouf, Alexandria•",2023-01-26,194727255
"EGP 2,050,000",4,2,205 SQM,"Laurent, Alexandria•",2023-01-26,195269781
"EGP 1,150,000",2,1,110 SQM,"Sidi Beshr, Alexandria•",2023-01-26,195311167
"EGP 3,250,000",1,2,77 SQM,"Moharam Bik, Alexandria•",2023-01-26,195021040
"EGP 5,850,000",2,3,142 SQM,"Moharam Bik, Alexandria•",2023-01-26,195021675
"EGP 1,800,000",3,2,180 SQM,"Asafra, Alexandria•",2023-01-26,194987869
"EGP 8,700,000",3,3,350 SQM,"Smoha, Alexandria•",2023-01-26,195630348
"EGP 4,000,000",2,3,235 SQM,"Laurent, Alexandria•",2023-01-26,195664025
"EGP 1,750,000",3,2,160 SQM,"Zezenia, Alexandria•",2023-01-26,195439080
"EGP 1,250,000",3,1,136 SQM,"Miami, Alexandria•",2023-01-26,194678724
"EGP 3,300,000",2,2,132 SQM,"Smoha, Alexandria•",2023-01-26,195266333
"EGP 1,200,000Negotiable",3,1,110 SQM,"Sidi Beshr, Alexandria•",2023-01-26,195551236
"EGP 1,700,000",3,2,155 SQM,"Asafra, Alexandria•",2023-01-26,195552168
"EGP 2,000,000",3,2,135 SQM,"Laurent, Alexandria•",2023-01-26,195592829
"EGP 8,500,001",3,4,290 SQM,"Roushdy, Alexandria•",2023-01-26,195611286
"EGP 750,000",2,1,75 SQM,"Kafr Abdo, Alexandria•",2023-01-26,194679127
"EGP 8,711,000",3,3,281 SQM,"Smoha, Alexandria•",2023-01-26,195565161
"EGP 4,000,000",3,2,200 SQM,"Glim, Alexandria•",2023-01-26,194078899
"EGP 930,000",2,1,115 SQM,"Bolkly, Alexandria•",2023-01-26,195003527
"EGP 6,200,000",3,2,175 SQM,"Sporting, Alexandria•",2023-01-26,195594038
"EGP 2,856,000",3,2,145 SQM,"Smoha, Alexandria•",2023-01-26,194574668
"EGP 1,500,000",3,1,145 SQM,"Al Ibrahimiyyah, Alexandria•",2023-01-26,195663648
"EGP 5,000,000",3,3,263 SQM,"Smoha, Alexandria•",2023-01-26,195553487
"EGP 1,500,000",2,1,126 SQM,"Roushdy, Alexandria•",2023-01-26,195155604
"EGP 4,250,000",3,2,330 SQM,"Smoha, Alexandria•",2023-01-26,195349159
"EGP 3,350,000",3,2,180 SQM,"Laurent, Alexandria•",2023-01-26,195114104
"EGP 5,800,000",3,3,198 SQM,"Moharam Bik, Alexandria•",2023-01-26,195502911
"EGP 1,500,000",3,1,145 SQM,"Laurent, Alexandria•",2023-01-26,193765801
"EGP 16,000,000",3,4,270 SQM,"San Stefano, Alexandria•",2023-01-26,195610587
"EGP 4,250,000",3,2,292 SQM,"Glim, Alexandria•",2023-01-26,195451113
"EGP 2,300,000",4,1,160 SQM,"Sidi Beshr, Alexandria•",2023-01-26,194914485
"EGP 5,750,000",4,4,250 SQM,"Moharam Bik, Alexandria•",2023-01-26,195456929
"EGP 4,500,000",3,3,184 SQM,"Moharam Bik, Alexandria•",2023-01-26,195647606
"EGP 4,763,200",3,3,208 SQM,"Moharam Bik, Alexandria•",2023-01-26,195612466
"EGP 3,750,000",3,3,275 SQM,"Kafr Abdo, Alexandria•",2023-01-26,195265811
"EGP 3,200,000",3,2,200 SQM,"Smoha, Alexandria•",2023-01-26,195652801
"EGP 4,752,000",3,3,177 SQM,"Moharam Bik, Alexandria•",2023-01-26,195451442
"EGP 6,000,000",3,3,248 SQM,"Smoha, Alexandria•",2023-01-26,193648833
"EGP 3,600,000",3,3,177 SQM,"Moharam Bik, Alexandria•",2023-01-26,193295058
"EGP 3,800,000",3,2,200 SQM,"Smoha, Alexandria•",2023-01-26,194466156
"EGP 1,400,000",2,2,150 SQM,"Smoha, Alexandria•",2023-01-26,195636470
"EGP 4,100,000",3,2,210 SQM,"Smoha, Alexandria•",2023-01-26,194847341
"EGP 750,000",2,1,100 SQM,"Miami, Alexandria•",2023-01-26,195613268
"EGP 1,400,000",3,1,130 SQM,"Sidi Beshr, Alexandria•",2023-01-26,194677690
"EGP 1,700,000",3,2,142 SQM,"Laurent, Alexandria•",2023-01-26,195645380
"EGP 4,900,000",3,3,196 SQM,"Smoha, Alexandria•",2023-02-01,195613117
"EGP 2,500,000",3,2,170 SQM,"Smoha, Alexandria•",2023-02-01,195665714
"EGP 1,700,000",3,2,181 SQM,"Laurent, Alexandria•",2023-02-01,195665687
"EGP 795,000",3,2,130 SQM,"Moharam Bik, Alexandria•",2023-02-01,195629752
"EGP 270,000",2,1,85 SQM,"Smoha, Alexandria•",2023-02-01,195629283
"EGP 4,000,000",2,3,235 SQM,"Laurent, Alexandria•",2023-02-01,195664025
"EGP 3,000,000",3,1,135 SQM,"Roushdy, Alexandria•",2023-02-01,195664009
"EGP 1,500,000",2,1,100 SQM,"Smoha, Alexandria•",2023-02-01,195663771
"EGP 3,136,000Negotiable",3,3,196 SQM,"Roushdy, Alexandria•",2023-02-01,195646335
"EGP 3,750,000",4,3,350 SQM,"Cleopatra, Alexandria•",2023-02-01,194634393
"EGP 790,000",3,1,125 SQM,"Seyouf, Alexandria•",2023-02-01,184758528
"EGP 1,500,000",3,1,145 SQM,"Al Ibrahimiyyah, Alexandria•",2023-02-01,195663648
"EGP 10,000,000",3,4,400 SQM,"Saba Pasha, Alexandria•",2023-02-01,195663584
"EGP 1,300,000",2,1,130 SQM,"Smoha, Alexandria•",2023-02-01,195663361
"EGP 1,350,000",2,2,110 SQM,"Saba Pasha, Alexandria•",2023-02-01,195663271
"EGP 1,900,000",3,2,130 SQM,"Saba Pasha, Alexandria•",2023-02-01,195663214
"EGP 5,000,000",3,3,300 SQM,"Saba Pasha, Alexandria•",2023-02-01,195663156
"EGP 2,250,000",2,2,143 SQM,"Gianaclis, Alexandria•",2023-02-01,195662884
"EGP 180,000",2,1,80 SQM,"Agami, Alexandria•",2023-02-01,195662844
"EGP 2,217,640",3,2,155 SQM,"Amreya, Alexandria•",2023-02-01,195176645
"EGP 1,100,000",2,1,100 SQM,"Miami, Alexandria•",2023-02-01,195662395
"EGP 1,652,000",1,1,60 SQM,"Smoha, Alexandria•",2023-02-01,195662072
"EGP 2,300,000",3,2,155 SQM,"Smoha, Alexandria•",2023-02-01,186196221
"EGP 5,000,000",4,3,245 SQM,"Smoha, Alexandria•",2023-02-01,177353742
"EGP 5,000,250",3,3,169.5 SQM,"Smoha, Alexandria•",2023-02-01,195661822
"EGP 350,000Negotiable",2,1,120 SQM,"Nakheel, Alexandria•",2023-02-01,194175270
"EGP 380,000Negotiable",2,2,130 SQM,"Nakheel, Alexandria•",2023-02-01,194189247
"EGP 420,000Negotiable",4,2,360 SQM,"Nakheel, Alexandria•",2023-02-01,194183785
"EGP 1,200,000",2,1,125 SQM,"Montazah, Alexandria•",2023-02-01,195661621
"EGP 3,900,000",3,3,156 SQM,"Smoha, Alexandria•",2023-02-01,195661583
"EGP 5,701,000",4,3,219 SQM,"Smoha, Alexandria•",2023-02-01,195661557
"EGP 500,000Negotiable",3,1,85 SQM,"Sidi Beshr, Alexandria•",2023-02-01,195654487
"EGP 1,600,000",3,2,135 SQM,"Miami, Alexandria•",2023-02-01,195627614
"EGP 3,300,000",3,2,166 SQM,"Saba Pasha, Alexandria•",2023-02-01,195238695
"EGP 6,000,000",3,2,250 SQM,"Raml Station, Alexandria•",2023-02-01,194697954
"EGP 3,550,000",3,2,150 SQM,"Smoha, Alexandria•",2023-02-01,195661453
"EGP 980,000Negotiable",3,1,105 SQM,"Sidi Beshr, Alexandria•",2023-02-01,195661019
"EGP 1,000,000Negotiable",3,1,150 SQM,"Miami, Alexandria•",2023-02-01,195660981
"EGP 4,158,000",3,3,198 SQM,"Smoha, Alexandria•",2023-02-01,195660934
"EGP 270,000Negotiable",2,1,90 SQM,"Nakheel, Alexandria•",2023-02-01,195660911
"EGP 750,000",2,1,75 SQM,"Kafr Abdo, Alexandria•",2023-02-01,194679127
"EGP 1,250,000",3,1,136 SQM,"Miami, Alexandria•",2023-02-01,194678724
"EGP 5,375,000",3,3,250 SQM,"Smoha, Alexandria•",2023-02-01,195660771
"EGP 7,410,000Negotiable",3,2,260 SQM,"Smoha, Alexandria•",2023-02-01,195626007
"EGP 2,993,500",3,2,118 SQM,"Smoha, Alexandria•",2023-02-01,195660574
"EGP 5,646,500",3,3,219 SQM,"Smoha, Alexandria•",2023-02-01,195660363
"EGP 2,967,000",3,2,138 SQM,"Smoha, Alexandria•",2023-02-01,195660248
"EGP 1,900,000Negotiable",2,1,120 SQM,"Roushdy, Alexandria•",2023-02-01,195660242
"EGP 3,053,500",3,2,155 SQM,"Smoha, Alexandria•",2023-02-01,195660141
"EGP 2,572,000",2,1,108 SQM,"Smoha, Alexandria•",2023-02-01,193727273
"EGP 3,220,000",2,1,140 SQM,"Smoha, Alexandria•",2023-02-01,195660060
"EGP 3,076,250",3,2,113 SQM,"Smoha, Alexandria•",2023-02-01,193727871
"EGP 2,240,000",3,2,160 SQM,"Smoha, Alexandria•",2023-02-01,195659942
"EGP 1,000,000",3,1,107 SQM,"Bacchus, Alexandria•",2023-02-01,195625551
"EGP 2,572,000",2,1,108 SQM,"Smoha, Alexandria•",2023-02-01,193727219
"EGP 3,700,000",3,2,235 SQM,"Smoha, Alexandria•",2023-02-01,195659823
"EGP 380,000",2,1,90 SQM,"Nakheel, Alexandria•",2023-02-01,195659713
"EGP 2,250,000",3,2,143 SQM,"Gianaclis, Alexandria•",2023-02-01,195650987
"EGP 440,000",3,1,120 SQM,"Nakheel, Alexandria•",2023-02-01,195659390
"EGP 440,000",2,1,150 SQM,"Nakheel, Alexandria•",2023-02-01,195659308
"EGP 1,150,000",3,1,135 SQM,"Sidi Beshr, Alexandria•",2023-02-01,195659026
"EGP 470,000",2,1,107 SQM,"Victoria, Alexandria•",2023-02-01,195641842
"EGP 1,600,000",3,2,150 SQM,"Laurent, Alexandria•",2023-02-01,195658400
"EGP 1,850,000",2,1,111 SQM,"Smoha, Alexandria•",2023-02-01,194734341
"EGP 1,600,000",3,2,150 SQM,"Smoha, Alexandria•",2023-02-01,195658369
"EGP 1,600,000",3,2,150 SQM,"Moharam Bik, Alexandria•",2023-02-01,195658357
"EGP 210,000Negotiable",1,1,120 SQM,"Nakheel, Alexandria•",2023-02-01,195606785
"EGP 750,000",2,1,85 SQM,"Sidi Beshr, Alexandria•",2023-02-01,195657320
"EGP 925,000",2,1,120 SQM,"Miami, Alexandria•",2023-02-01,195657276
"EGP 1,150,000",3,1,150 SQM,"Miami, Alexandria•",2023-02-01,195657229
"EGP 1,200,000",3,1,135 SQM,"Sidi Beshr, Alexandria•",2023-02-01,195588370
"EGP 750,000",3,2,150 SQM,"Miami, Alexandria•",2023-02-01,195405491
"EGP 225,000",3,1,120 SQM,"Agami, Alexandria•",2023-02-01,195655983
"EGP 450,000Negotiable",3,2,140 SQM,"Miami, Alexandria•",2023-02-01,195637307
"EGP 1,350,000Negotiable",10,6,340 SQM,"Agami, Alexandria•",2023-02-01,195634654
