Price,Bedrooms,Bathrooms,Area,Location,date,id
1550000,3,2,165,Sidi Beshr,2023-04-12,196389225
1100000,2,2,140,Agami,2023-04-12,196697881
1350000,2,1,96,Smoha,2023-04-12,196771511
5000000,3,3,270,Stanley,2023-04-12,196819417
4000000,4,3,210,Smoha,2023-04-12,196758543
175000,3,1,100,Agami,2023-04-12,196738073
4600000,3,3,210,Sporting,2023-04-12,196764608
3100000,3,2,200,Saba Pasha,2023-04-12,196732047
1685000,3,2,135,Victoria,2023-04-12,196792235
4850000,4,3,210,Smoha,2023-04-12,196818513
5000000,4,2,250,Glim,2023-04-12,196764217
2550000,3,2,185,Smoha,2023-04-12,196795141
5700000,3,2,175,Sporting,2023-04-12,196752294
3500000,3,1,135,Glim,2023-04-12,196750230
1600000,3,1,176,Montazah,2023-04-12,196470849
2000000,3,2,160,Al Ibrahimiyyah,2023-04-12,196598873
4200000,3,2,150,San Stefano,2023-04-12,196795139
430000,3,1,120,Agami,2023-04-12,196812273
650000,3,1,125,Agami,2023-04-12,196813296
370000,2,1,120,Agami,2023-04-12,196743196
220000,2,1,80,Agami,2023-04-12,196743412
2400000,3,2,145,Al Ibrahimiyyah,2023-04-12,196778404
4225000,3,3,194,Moharam Bik,2023-04-12,196793931
4100000,3,2,230,Kafr Abdo,2023-04-12,196752229
1950000,3,2,130,Sporting,2023-04-12,196818964
380000,2,2,120,Agami,2023-04-12,196738459
8500000,5,4,500,Louran,2023-04-12,196818041
5000000,3,3,280,Louran,2023-04-12,196751022
3174000,3,2,149,Smoha,2023-04-12,196792286
4500000,3,2,167,Saba Pasha,2023-04-12,196779430
3500000,4,3,223,Smoha,2023-04-15,196822244
3500000,3,2,135,Terrace Smouha,2023-04-15,196796299
1400000,2,1,100,Sidi Beshr,2023-04-15,196821771
3700000,3,3,200,Cleopatra,2023-04-15,196737079
1250000,2,2,120,Montazah,2023-04-15,184333996
2200000,3,2,145,Sporting,2023-04-15,196821549
950000,3,1,120,Fleming,2023-04-15,196821033
1200000,3,2,170,Seyouf,2023-04-15,196820985
1000000,3,1,100,Smoha,2023-04-15,196820040
1800000,2,1,130,Louran,2023-04-15,196820446
500000,2,1,85,Victoria,2023-04-15,196820229
550000,2,1,70,Sidi Beshr,2023-04-15,196806156
1500000,3,2,139,Moharam Bik,2023-04-15,196792108
1200000,3,2,130,Asafra,2023-04-15,196735757
3500000,3,3,285,Roushdy,2023-04-15,196718863
650000,2,1,110,Seyouf,2023-04-15,196820149
5000000,3,3,271,Stanley,2023-04-15,196819854
2900000,3,2,152,Sporting,2023-04-15,196819773
1500000,3,2,139,Al Hadrah,2023-04-15,196819668
1400000,2,1,126,Roushdy,2023-04-15,196819665
750000,2,1,110,Seyouf,2023-04-15,196819653
1000000,3,1,145,Seyouf,2023-04-15,196789598
1650000,3,2,195,Miami,2023-04-15,196779139
2150000,3,2,150,Sidi Gaber,2023-04-15,196676982
1150000,2,1,115,Sidi Beshr,2023-04-15,196819331
2500000,3,1,130,Sporting,2023-04-15,196819313
500000,3,1,115,Nakheel,2023-04-15,196819279
20000000,5,5,575,Smoha,2023-04-15,196819114
1600000,2,1,100,Al Ibrahimiyyah,2023-04-15,196818995
165000,1,1,55,Nakheel,2023-04-15,196805273
1700000,3,1,160,Al Ibrahimiyyah,2023-04-15,196734127
600000,3,1,105,Awayed,2023-04-15,194352091
3200000,4,2,260,Zezenia,2023-04-15,196818876
9900000,3,3,275,Smoha,2023-04-15,196818762
1900000,3,1,145,Smoha,2023-04-15,196818734
1000000,3,2,140,Fleming,2023-04-15,196818732
1450000,3,2,140,Sidi Beshr,2023-04-15,196818497
3850000,3,2,122,Smoha,2023-04-15,196818422
2100000,2,2,125,Smoha,2023-04-15,196818396
940000,5,2,200,Sidi Beshr,2023-04-15,196818357
2200000,3,2,155,Sidi Gaber,2023-04-15,196818217
2900000,3,2,190,Sporting,2023-04-15,196818212
3250000,3,3,225,Smoha,2023-04-15,196818149
1500000,2,1,100,Glim,2023-04-15,196818141
800000,2,1,110,Miami,2023-04-15,196817992
1630000,2,2,75,Miami,2023-04-15,196817866
2750000,2,1,167,Maamoura,2023-04-15,196805743
360000,2,1,100,Nakheel,2023-04-15,196679692
4745000,3,3,146,Smoha,2023-04-15,196793003
1100000,3,2,145,Agami,2023-04-15,196817156
1900000,3,2,175,Sidi Beshr,2023-04-15,194067760
670000,3,1,130,Nakheel,2023-04-15,196816583
700000,3,1,115,Nakheel,2023-04-15,196816542
1700000,3,2,170,Montazah,2023-04-15,196791558
1250000,3,1,140,Seyouf,2023-04-15,196815840
1600000,3,2,160,Seyouf,2023-04-15,196802319
4300000,3,1,120,San Stefano,2023-04-15,196815527
370000,3,1,140,Agami,2023-04-15,196813948
7500000,4,4,315,Kafr Abdo,2023-04-15,196786803
1700000,2,1,120,Smoha,2023-04-15,196812506
180000,2,1,65,Dhahria,2023-04-15,196786738
240000,2,1,80,Dhahria,2023-04-15,196786636
6892000,2,2,181,Moharam Bik,2023-04-15,196812617
1250000,2,1,100,Smoha,2023-04-15,196810835
5500000,3,2,363,Smoha,2023-04-15,196785226
3200000,3,2,176,Glim,2023-04-15,196740992
4400000,3,3,197,Roushdy,2023-04-15,196795248
880000,2,2,110,Mandara,2023-04-15,196789532
1050000,3,1,115,Al Ibrahimiyyah,2023-04-15,196789226
10000000,4,3,360,Glim,2023-04-15,196783153
1800000,3,1,160,Gianaclis,2023-04-15,196782218
980000,3,1,100,Smoha,2023-04-15,196781907
2250000,3,1,145,Smoha,2023-04-15,196722550
1400000,2,1,130,Zezenia,2023-04-15,196722490
520000,3,1,120,Agami,2023-04-15,196807018
1350000,3,1,135,Sidi Beshr,2023-04-15,196807625
450000,2,1,75,Sidi Beshr,2023-04-15,196778876
1700000,3,2,150,Louran,2023-04-15,196806870
900000,2,1,110,Miami,2023-04-15,196806097
5500000,4,3,265,Zezenia,2023-04-15,196719176
450000,2,1,90,Agami,2023-04-15,196805244
5200000,3,3,190,Louran,2023-04-15,196804970
490000,3,2,170,Agami,2023-04-15,196530279
260000,2,1,70,Nakheel,2023-04-15,196802944
400000,2,1,100,Nakheel,2023-04-15,196802880
800000,3,1,120,Sidi Beshr,2023-04-15,196802774
550000,2,1,100,Mandara,2023-04-15,196655208
2000000,3,2,140,Seyouf,2023-04-15,196768573
2550000,3,2,141,Smoha,2023-04-15,196692772
1450000,3,1,115,Miami,2023-04-15,196767298
3000000,3,2,200,Raml Station,2023-04-15,196795830
1900000,3,1,145,Sidi Beshr,2023-04-15,196783039
4200000,3,2,150,San Stefano,2023-04-15,196764991
3300000,3,2,188,Kafr Abdo,2023-04-13,196795258
3900000,3,2,195,Smoha,2023-04-13,196766425
1300000,4,1,171,Louran,2023-04-13,196795229
1850000,3,2,154,Smoha,2023-04-13,196795218
750000,3,1,130,Sidi Beshr,2023-04-13,196794901
3350000,3,2,181,Terrace Smouha,2023-04-13,196794491
6250001,3,4,3001,Terrace Smouha,2023-04-13,196794161
4384800,3,3,174,Smoha,2023-04-13,196794132
6250000,3,4,300,Terrace Smouha,2023-04-13,196793989
3768000,3,2,157,Smoha,2023-04-13,196794065
3306900,3,2,151,Smoha,2023-04-13,196794018
4222400,3,3,182,Smoha,2023-04-13,196793985
3173700,3,2,149,Smoha,2023-04-13,196793877
4788000,3,2,171,Smoha,2023-04-13,196793844
4554000,3,2,198,Smoha,2023-04-13,196793796
1100000,3,1,100,Moharam Bik,2023-04-13,196793780
