Price,Bedrooms,Bathrooms,Area,Location
500000,3,1,120,Miami
3600000,4,3,265,Louran
6500000,2,3,214,San Stefano
3060000,3,3,204,San Stefano
2500000,3,3,165,Louran
345000,4,2,200,Agami
4212000,3,3,155,Smoha
2500000,3,2,200,Asafra
3600000,3,3,385,Roushdy
3045000,3,3,203,Moharam Bik
1900000,3,1,125,Sidi Beshr
1000000,2,1,140,Miami
2360000,3,2,140,Moharam Bik
6000001,3,4,321,Mandara
2500000,3,2,220,Roushdy
2250000,3,1,125,Sidi Gaber
2150000,3,2,180,Bolkly
3111000,3,2,122,Smoha
550000,2,1,100,Miami
3500000,3,2,130,Cleopatra
3000000,3,3,195,Kafr Abdo
1962000,2,2,111,Smoha
1500000,4,2,180,Agami
4400000,4,4,280,Louran
2483000,3,2,150,Smoha
4500000,3,3,210,Roushdy
2895000,3,3,193,Glim
270000,2,1,100,Agami
3060000,3,3,204,Kafr Abdo
4427660,3,3,177,Moharam Bik
820000,2,1,110,Sidi Beshr
1750000,2,1,125,Sidi Beshr
10000000,4,4,400,Glim
1200000,3,2,185,Asafra
1550000,2,1,140,Roushdy
950000,3,2,185,Smoha
3045000,3,3,203,Roushdy
5700000,4,3,364,Glim
350000,2,1,286,Amreya
1700000,2,1,145,Moharam Bik
2100000,3,2,150,Glim
650000,2,1,108,Smoha
3000000,4,2,160,Saba Pasha
2650000,3,3,265,Louran
1750000,3,2,150,Glim
6108718,3,3,218,Amreya
3200000,3,3,190,Smoha
560000,3,2,140,Nakheel
490000,2,2,260,Nakheel
1900000,3,1,130,Moharam Bik
2750000,3,2,150,Mandara
320000,2,1,120,Nakheel
400000,1,1,100,Sidi Beshr
3600000,3,3,385,Roushdy
3600000,3,2,220,Smoha
2450000,3,2,220,Roushdy
1250000,2,1,110,Gianaclis
700000,5,2,110,Gomrok
2250000,3,2,165,Saba Pasha
2200000,3,2,145,Sporting
500000,2,1,80,Sidi Gaber
3550000,3,3,160,Montazah
3600000,3,2,180,Saba Pasha
360000,2,1,220,Nakheel
3487500,3,3,155,Smoha
3111000,3,2,122,Smoha
1200000,2,1,100,Louran
7000000,3,3,210,Cleopatra
1650000,2,1,135,Sidi Gaber
2650000,3,3,265,Louran
350000,2,1,106,Agami
1750000,3,2,165,Louran
330000,3,1,125,Nakheel
330000,2,1,220,Nakheel
1700000,2,1,145,Moharam Bik
2950000,3,3,220,Louran
1800000,3,1,120,Glim
2805000,3,2,170,Smoha
2557500,3,2,155,Smoha
3036000,3,2,184,Smoha
2805000,3,3,187,Smoha
3625200,3,3,212,Smoha
3648000,3,3,228,Smoha
3488000,4,3,218,Smoha
3500000,3,2,200,Roushdy
4212000,3,3,155,Smoha
2992500,3,3,190,Smoha
135000,1,1,60,Nakheel
1500000,3,2,181,Louran
3500000,3,2,205,Glim
1700000,3,1,168,Sidi Beshr
590000,3,2,125,Nakheel
6330351,4,3,284,Moharam Bik
3500000,3,2,205,Saba Pasha
260000,2,1,140,Nakheel
3300000,3,2,200,Saba Pasha
2520000,3,2,140,Smoha
2520000,3,2,140,Smoha
6900000,2,2,136,San Stefano
3300000,3,2,200,Glim
560000,2,1,85,Sidi Beshr
