Price,Bedrooms,Bathrooms,Area,Location,id
"EGP 3,800,000",3,2,165 SQM,"Maamoura, Alexandria•",193349318
"EGP 7,000,000",5,5,442 SQM,"Smoha, Alexandria•",195609810
"EGP 3,250,000",3,2,188 SQM,"Kafr Abdo, Alexandria•",195082183
"EGP 1,500,000",2,1,126 SQM,"Roushdy, Alexandria•",195155604
"EGP 2,300,000",4,1,160 SQM,"Sidi Beshr, Alexandria•",194914485
"EGP 6,200,000",3,2,175 SQM,"Sporting, Alexandria•",195594038
"EGP 250,000",2,1,90 SQM,"Agami, Alexandria•",195394835
"EGP 3,500,000",3,2,200 SQM,"Roushdy, Alexandria•",185984446
"EGP 3,350,000",3,2,180 SQM,"Laurent, Alexandria•",195114104
"EGP 3,500,000",3,2,200 SQM,"Saba Pasha, Alexandria•",193913127
"EGP 6,900,000",3,3,260 SQM,"Saba Pasha, Alexandria•",195536008
"EGP 4,250,000",3,2,292 SQM,"Glim, Alexandria•",195451113
"EGP 3,000,000",3,3,200 SQM,"Smoha, Alexandria•",195547114
"EGP 4,100,000",3,2,210 SQM,"Smoha, Alexandria•",194847341
"EGP 1,800,000",3,2,180 SQM,"Asafra, Alexandria•",194987869
"EGP 2,650,000",3,3,185 SQM,"Zezenia, Alexandria•",195284282
"EGP 4,100,000",4,3,280 SQM,"Laurent, Alexandria•",195266986
"EGP 4,000,000",3,2,200 SQM,"Glim, Alexandria•",194078899
"EGP 12,268,800",3,3,284 SQM,"Moharam Bik, Alexandria•",195143799
"EGP 1,750,000",3,2,160 SQM,"Zezenia, Alexandria•",195439080
"EGP 550,000",4,1,185 SQM,"Agami, Alexandria•",195570842
"EGP 1,400,000",2,1,115 SQM,"Roushdy, Alexandria•",195553984
"EGP 4,650,000",3,3,240 SQM,"Kafr Abdo, Alexandria•",195614128
"EGP 1,750,000",3,1,100 SQM,"Miami, Alexandria•",195612914
"EGP 2,250,000",3,2,143 SQM,"Gianaclis, Alexandria•",195532743
"EGP 5,000,000",3,3,263 SQM,"Smoha, Alexandria•",195553487
"EGP 3,650,000",3,3,280 SQM,"Roushdy, Alexandria•",195329778
"EGP 700,000Negotiable",3,1,105 SQM,"Agami, Alexandria•",195357771
"EGP 1,200,000",3,1,130 SQM,"Smoha, Alexandria•",194747122
"EGP 2,700,000",3,3,205 SQM,"Laurent, Alexandria•",194399962
"EGP 2,500,000",2,2,125 SQM,"Smoha, Alexandria•",195535745
"EGP 3,360,000",3,2,280 SQM,"Laurent, Alexandria•",195241391
"EGP 2,250,000",3,2,138 SQM,"Smoha, Alexandria•",195592311
"EGP 580,000",2,1,100 SQM,"Miami, Alexandria•",195613268
"EGP 2,000,000",3,2,135 SQM,"Laurent, Alexandria•",195592829
"EGP 490,000Negotiable",2,1,110 SQM,"Abu Talat, Alexandria•",195643234
"EGP 8,700,000",3,3,350 SQM,"Smoha, Alexandria•",195630348
"EGP 1,200,000Negotiable",2,1,110 SQM,"Sidi Gaber, Alexandria•",195501519
"EGP 3,250,000",1,2,77 SQM,"Moharam Bik, Alexandria•",195021040
